Pond,Date,Species_ID,Time
H_BP,5/12/23,EPTFUS,22
H_BP,5/11/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,22
H_BP,5/12/23,EPTFUS,23
H_BP,5/13/23,EPTFUS,5
H_BP,5/11/23,EPTFUS,23
H_BP,5/12/23,EPTFUS,4
H_BP,5/12/23,EPTFUS,4
H_BP,5/11/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,22
H_BP,5/13/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,3
H_BP,5/12/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,23
H_BP,5/12/23,EPTFUS,0
H_BP,5/13/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,3
H_BP,5/12/23,EPTFUS,4
H_BP,5/12/23,EPTFUS,23
H_BP,5/11/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,3
H_BP,5/11/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,22
H_BP,5/12/23,EPTFUS,0
H_BP,5/12/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,4
H_BP,5/12/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,0
H_BP,5/13/23,EPTFUS,22
H_BP,5/11/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,2
H_BP,5/13/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,20
H_BP,5/14/23,EPTFUS,1
H_BP,5/13/23,EPTFUS,2
H_BP,5/13/23,EPTFUS,4
H_BP,5/12/23,EPTFUS,0
H_BP,5/13/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,22
H_BP,5/12/23,EPTFUS,4
H_BP,5/13/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,22
H_BP,5/13/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,22
H_BP,5/12/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,4
H_BP,5/12/23,EPTFUS,23
H_BP,5/13/23,EPTFUS,22
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,2
H_BP,5/13/23,EPTFUS,22
H_BP,5/12/23,EPTFUS,3
H_BP,5/13/23,EPTFUS,3
H_BP,5/13/23,EPTFUS,2
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,23
H_BP,5/11/23,EPTFUS,23
H_BP,5/12/23,EPTFUS,4
H_BP,5/13/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,22
H_BP,5/13/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,3
H_BP,5/13/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,4
H_BP,5/12/23,EPTFUS,22
H_BP,5/12/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,22
H_BP,5/11/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,4
H_BP,5/14/23,EPTFUS,0
H_BP,5/13/23,EPTFUS,22
H_BP,5/12/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,0
H_BP,5/13/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,3
H_BP,5/12/23,EPTFUS,3
H_BP,5/12/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,2
H_BP,5/13/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,4
H_BP,5/13/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,22
H_BP,5/11/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,1
H_BP,5/13/23,EPTFUS,1
H_BP,5/13/23,EPTFUS,4
H_BP,5/12/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,4
H_BP,5/12/23,EPTFUS,3
H_BP,5/13/23,EPTFUS,22
H_BP,5/12/23,EPTFUS,4
H_BP,5/11/23,EPTFUS,20
H_BP,5/14/23,EPTFUS,1
H_BP,5/11/23,EPTFUS,22
H_BP,5/11/23,EPTFUS,22
H_BP,5/13/23,EPTFUS,22
H_BP,5/11/23,EPTFUS,22
H_BP,5/11/23,EPTFUS,22
H_BP,5/13/23,EPTFUS,4
H_BP,5/12/23,EPTFUS,3
H_BP,5/12/23,EPTFUS,22
H_BP,5/13/23,EPTFUS,22
H_BP,5/12/23,EPTFUS,0
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,22
H_BP,5/12/23,EPTFUS,3
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,23
H_BP,5/13/23,EPTFUS,3
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,3
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,2
H_BP,5/11/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,4
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,22
H_BP,5/13/23,EPTFUS,2
H_BP,5/12/23,EPTFUS,3
H_BP,5/13/23,EPTFUS,1
H_BP,5/11/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,22
H_BP,5/11/23,EPTFUS,23
H_BP,5/13/23,EPTFUS,3
H_BP,5/13/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,0
H_BP,5/13/23,EPTFUS,2
H_BP,5/11/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,0
H_BP,5/13/23,EPTFUS,4
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,1
H_BP,5/13/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,0
H_BP,5/13/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,3
H_BP,5/11/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,4
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,3
H_BP,5/11/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,1
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,4
H_BP,5/13/23,EPTFUS,3
H_BP,5/11/23,EPTFUS,22
H_BP,5/13/23,EPTFUS,22
H_BP,5/12/23,EPTFUS,4
H_BP,5/11/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,22
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,4
H_BP,5/12/23,EPTFUS,3
H_BP,5/13/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,4
H_BP,5/12/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,0
H_BP,5/13/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,2
H_BP,5/12/23,EPTFUS,3
H_BP,5/11/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,22
H_BP,5/13/23,EPTFUS,23
H_BP,5/13/23,EPTFUS,22
H_BP,5/13/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,3
H_BP,5/12/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,3
H_BP,5/12/23,EPTFUS,2
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,2
H_BP,5/13/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,4
H_BP,5/13/23,EPTFUS,2
H_BP,5/11/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,4
H_BP,5/12/23,EPTFUS,4
H_BP,5/13/23,EPTFUS,1
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,23
H_BP,5/12/23,EPTFUS,0
H_BP,5/11/23,EPTFUS,22
H_BP,5/12/23,EPTFUS,4
H_BP,5/12/23,EPTFUS,0
H_BP,5/13/23,EPTFUS,22
H_BP,5/12/23,EPTFUS,0
H_BP,5/12/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,22
H_BP,5/12/23,EPTFUS,0
H_BP,5/12/23,EPTFUS,2
H_BP,5/13/23,EPTFUS,2
H_BP,5/13/23,EPTFUS,4
H_BP,5/13/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,4
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,2
H_BP,5/13/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,1
H_BP,5/12/23,EPTFUS,2
H_BP,5/12/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,22
H_BP,5/13/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,23
H_BP,5/13/23,EPTFUS,3
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,23
H_BP,5/13/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,22
H_BP,5/11/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,23
H_BP,5/13/23,EPTFUS,4
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,4
H_BP,5/13/23,EPTFUS,21
H_BP,5/12/23,EPTFUS,1
H_BP,5/13/23,EPTFUS,20
H_BP,5/12/23,EPTFUS,0
H_BP,5/12/23,EPTFUS,3
H_BP,5/12/23,EPTFUS,4
H_BP,5/13/23,EPTFUS,3
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,22
H_BP,5/13/23,EPTFUS,1
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,22
H_BP,5/11/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,3
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,23
H_BP,5/12/23,EPTFUS,3
H_BP,5/13/23,EPTFUS,3
H_BP,5/11/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,1
H_BP,5/13/23,EPTFUS,5
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,23
H_BP,5/13/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,23
H_BP,5/11/23,EPTFUS,22
H_BP,5/13/23,EPTFUS,22
H_BP,5/11/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,20
H_BP,5/13/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,22
H_BP,5/11/23,EPTFUS,21
H_BP,5/13/23,EPTFUS,4
H_BP,5/11/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,20
H_BP,5/11/23,EPTFUS,23
H_BP,5/12/23,EPTFUS,3
H_BP,5/12/23,EPTFUS,21
H_BP,5/11/23,EPTFUS,22
H_BP,5/11/23,EPTFUS,23
H_BP,5/13/23,EPTFUS,4
H_BP,5/11/23,EPTFUS,23
H_BP,5/12/23,EPTFUS,23
H_BP,5/12/23,EPTFUS,3
H_BP,5/12/23,EPTFUS,3
H_BP,5/13/23,LASCIN,22
H_BP,5/11/23,LASCIN,20
H_BP,5/13/23,LASCIN,5
H_BP,5/13/23,LASCIN,4
H_BP,5/13/23,LASCIN,21
H_BP,5/13/23,LASCIN,3
H_BP,5/13/23,LASCIN,3
H_BP,5/13/23,LASCIN,5
H_BP,5/13/23,LASCIN,3
H_BP,5/12/23,LASCIN,4
H_BP,5/12/23,LASCIN,1
